FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19631106,183325,-16.7,-69.7,174,5.1,20223006,POINT (-69.7 -16.7),185.0,PUNO,EL COLLAO,SANTA ROSA,210504
19631108,192254,-3.7,-78.2,33,4.9,20223006,POINT (-78.2 -3.7),1347.0,AMAZONAS,CONDORCANQUI,EL CENEPA,010402
19631109,211532,-9.127,-71.483,591,7.6,20223006,POINT (-71.483 -9.127),,,,,
19631110,10039,-8.976,-71.171,594,6.3,20223006,POINT (-71.171 -8.976),,,,,
19631112,122645,-15.8,-72.4,33,4.5,20223006,POINT (-72.4 -15.8),42.0,AREQUIPA,CASTILLA,UÑON,040412
19631115,1852,-4.7,-76.8,152,4.8,20223006,POINT (-76.8 -4.7),1370.0,LORETO,DATEM DEL MARAÑON,BARRANCA,160701
19631118,71750,-16.5,-74.5,54,4.8,20223006,POINT (-74.5 -16.5),,,,,
19631119,223658,-18.6,-72.2,33,4.9,20223006,POINT (-72.2 -18.6),,,,,
19631127,21941,-16.6,-72.1,79,5.3,20223006,POINT (-72.1 -16.6),67.0,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,040121
19631129,15845,-15.1,-73.7,124,5.1,20223006,POINT (-73.7 -15.1),615.0,AYACUCHO,PARINACOCHAS,CHUMPI,050702
19631204,31307,-8.3,-81.1,33,5.0,20223006,POINT (-81.1 -8.3),,,,,
19631204,42122,-7.1,-80.4,45,4.9,20223006,POINT (-80.4 -7.1),,,,,
19631206,181432,-7.1,-80.5,33,4.9,20223006,POINT (-80.5 -7.1),,,,,
19631210,72636,-8.7,-79.8,33,4.9,20223006,POINT (-79.8 -8.7),,,,,
19631218,14213,-7.4,-76.0,33,4.5,20223006,POINT (-76 -7.4),570.0,LORETO,UCAYALI,PAMPA HERMOSA,160604
19631219,145443,-8.3,-80.8,33,4.8,20223006,POINT (-80.8 -8.3),,,,,
19631219,170407,-9.7,-79.1,56,5.4,20223006,POINT (-79.1 -9.7),,,,,
19631220,104804,-5.2,-80.8,55,5.5,20223006,POINT (-80.8 -5.2),1668.0,PIURA,SULLANA,MIGUEL CHECA,200606
19631224,24042,-6.6,-81.44,13,4.8,20223006,POINT (-81.44 -6.6),,,,,
19631227,959,-13.4,-72.7,42,4.6,20223006,POINT (-72.7 -13.4),956.0,CUSCO,LA CONVENCION,SANTA TERESA,080908
19631230,162048,-18.3,-70.1,150,4.6,20223006,POINT (-70.1 -18.3),,,,,
19640103,132751,-5.3,-76.0,106,4.7,20223006,POINT (-76 -5.3),1727.0,LORETO,ALTO AMAZONAS,JEBEROS,160205
19640105,183356,-7.98,-74.35,147,5.5,20223006,POINT (-74.35 -7.98),1633.0,UCAYALI,CORONEL PORTILLO,CALLERIA,250101
19640110,53704,-17.52,-69.79,167,4.7,20223006,POINT (-69.79 -17.52),1570.0,TACNA,TACNA,PALCA,230107
